id,ipa,buildNo,vin,engineNo,modelDesc,addSpec,variantCode
425,45456,215018,ZFA25000002N92203,F1AGL41153830732,Imala 730 Hi-Line (AU) White,"Boom Arm Table, Media Pack",ATF4AXEBD1H2
426,45456,215019,ZFA25000002N87310,F1AGL41153782143,Imala 730 Hi-Line (AU) White,"Half Dinette, Boom Arm Table, Plate at 3650kg, Media Pack",ATF4AXEBD2H4
427,45456,215020,ZFA25000002N83919,F1AGL41153823946,Imala 734 Hi-Line (AU) White,"Boom Arm Table, Media Pack",ATF4AXEBG1H2
428,45456,215021,ZFA25000002N91162,F1AGL41153830846,Imala 734 Hi-Line (AU) White,"Boom Arm Table, Media Pack",ATF4AXEBG1H2
429,47016,215022,ZFA25000002M74692,F1AGL41153719409,Delaware Lo-Line (AU) Red,0,ATA4AFFFA1L2
430,47016,215023,ZFA25000002M94538,F1AGL41153731002,Delaware S Lo-Line (AU) Silver,0,ATA4AFFFB1L2
431,47016,215024,ZFA25000002M51341,F1AGL41153684748,Delaware S Lo-Line Grey (AUS),0,ATA4AFFFB1L2
432,47016,215025,ZFA25000002N53967,F1AGL41153784247,Delaware HB Hi-Line (AU) Golden White,Half Dinette,ATA4AFFFC2H4
433,47016,215026,ZFA25000002N18803,F1AGL41153760831,Delaware Hi-Line (AU) Grey,Half Dinette,ATA4AFFFA2H4
434,47016,215027,ZFA25000002N13492,F1AGL41153750703,Delaware Lo-Line (AU) Red,0,ATA4AFFFA1L2
440,47016,215067,ZFA25000002P74355,F1AGL41153914485,Delaware HB Hi-Line (AU) Golden White,Half Dinette,ATA4AFFFC2H4
441,47016,215068,ZFA25000002N48121,F1AGL41153706496,Delaware HB Hi-Line (AU) Grey,Half Dinette,ATA4AFFFC2H4
442,47016,215072,ZFA25000002P14953,F1AGL41153857429,Delaware S Hi-Line (AU) Silver,0,ATA4AFFFB1H2
443,47016,215073,ZFA25000002P14773,F1AGL41153857489,Delaware S Hi-Line (AU) Silver,0,ATA4AFFFB1H2
444,47016,215074,ZFA25000002P15047,F1AGL41153855338,Delaware S Lo-Line (AU) Silver,0,ATA4AFFFB1L2
445,47016,215075,ZFA25000002P16872,F1AGL41153850420,Delaware S Lo-Line (AU) Golden White,0,ATA4AFFFB1L2
